title,company,skills,description
Digital Marketing Sales - Own the Territory – Run the Show,Franchise Career Advisor,Various IT Skills,"do you want to own your own business

business ownership via franchising is an avenue traveled by approximately  of the new franchise owners they were professionals transitioning out of the corporate grind and  keep their job and run their business on the side

our firm works closely with individuals who are open to exploring business ownership giving them a chance to build equity in a business of their own specifically a franchise business with a support system and proven business model many individuals have kept their current jobs while building a business of their own through semiabsentee models

with over  years of experience weve helped people explore business ownership through the franchise model with our guidance and research assistance we can show you top franchise companies that would be the best fit for your past experiences

it starts with a no cost franchise consultation please visit and complete the contact page

we look forward to helping you find the options available in your area"
Advisory Strategic Resource Manager,Grant Thornton LLP (US),Various IT Skills,"job description

strategic resource manager srm

job description 

the capacity and resource management crm team strategic resource manager srm role is responsible for assigning the right resource to the right client at the right time while balancing and optimizing employee growth client results and business metrics the srm will anticipate needs and work with partners mds and project managers to ensure open seats are filled and the bench is minimized in order to maximize utilization and minimize past due open seats heshe will have deep knowledge of the skills of the resources in hisher area as well as the skills required by projects in hisher area heshe will meet with staff regularly to ensure heshe understands their growth needs and project preferences as well as to set expectations with hisher staff re project and skill demand and possible opportunities heshe must anticipate project conflicts and identify alternatives to resolve conflicts as well as be opportunistic in managing the bench heshe must build strong relationships with partners mds and project managers by providing excellent client service heshe must build a strong relationship with his ablsolution familypeople leader heshe must prepare and analyze resource data for hisher area in order to identify issues and trends and maintain a constant pulse on the current and future shortages and surpluses in hisher area heshe is also responsible for the data management of hisher area

core responsibilities
 provides analysis around key metrics such as availability utilization and open seat status and identifies issues and trends
 works with partners mds and project managers to identify and define open needs and to identify staff to fulfill those needs
 anticipates potential staffing conflicts and proactively manages conflicts by surfacing creative alternatives that maximize utilization while minimizing bench but are also opportunistic for staff development
 actively manages bench and works with partners mds and project managers to identify possible opportunities for bench resources as well as college hires and interns also serves as primary point of contact for unassigned staff within area
 meets regularly with staff to ensure heshe understands their growth needs and project preferences as well as to set expectations with hisher staff re project and skill demand and possible opportunities
 acquires and maintains deep knowledge of skills of staff within area as well as skills needed for projects in area
 helps to integrate new hires into project teams
 maintains a steady pulse on shortages and surpluses in area
 collaboratively engages other srms to encourage resource sharing across regions groups etc
 identifies needs that cannot be fulfilled by upcoming supply and works closely with the capacity lead talent acquisition team andor contingent labor team to ensure open requisitions are created and fulfilled andor to consider other forms of sourcing
 participate in components of the performance management process with hr to help ensure consistent understanding of development needs of employees
 responsible for data management of area and works closely with the indusbased crm support team to ensure stafftrak data entryforecasting and reporting are timely and accurate
 collaborates with the indus crm team to focus on indus integration
 participates in the monthly forecasting process for area to ensure staffing needs utilization potential and shortages and surpluses are proactively identified

measurements
 this individual will be measured on utilization attainment for hisher area and on time open seat closure

the ideal candidate will have
 a solid understanding of the firms business and operations as well as a basic understanding of finance
 excellent organizational skills deadlineoriented and flexibility to meet changing needs of the role
 proven ability to manage upwards and drive results
 proven ability to set and manage expectations with staff
 strong computer skills including proficiency in microsoft excel high degree of comfort using computer software and other microsoft business products word powerpoint office including excellent data management and manipulation capabilities
 proven ability to consistently and positively contribute in a fastpaced environment
 strong metricsfocused with ability to use analytics to solve problems and develop solutions
 ability to build rapport and gain the trust with all levels of personnel at grant thornton
 strong leadership communication and presentation skills
 ability to work independently with little direct supervision
 aptitude to learn and leverage new technology
 experience in professional services industry specifically advisory services is preferred
 proven ability to maintain confidentiality while balancing needs to business
 bachelors degree in related field

about us

at grant thornton we believe in making business more personal and building trust into every result  for our clients and you here we go beyond your expectations of a career in professional services by offering a career path with more more opportunity more flexibility and more support its what makes us different and we think being different makes us better

organization

the team youre about to join is ready to help you thrive heres how
 whether its your work location weekly schedule or unlimited flex time off we empower you with the options to work in the way that best serves your clients and your life
 here you are supported to prioritize your overall wellbeing through worklife integration options that work best for your and those in your household
 we understand that your needs responsibilities and experiences are different  and we think thats a good thing thats why we support you with personalized and comprehensive benefits that recognize and empower all the identities roles and aspirations that make you well you see how at 
 when it comes to inclusion we are committed to doing more than checking boxes explore all the ways were taking action for diversity equity  inclusion at 

heres what you can expect next

if you apply and are selected to interview a grant thornton team member will reach out to you to schedule a time to connect we encourage you to also check out other roles that may be a good fit for you or get to know us a little bit better at 

additional details

grant thornton requires personnel to be fully vaccinated against covid in order to visitenter firm offices to visitenter client or prospective client sites or facilities or to attend inperson firm or clientsponsored events subject to any medical religious or other accommodations under the law personnel who are not fully vaccinated and who do not have an approved accommodation will be required to work remotely and will not be permitted to work onsite or to attend inperson events and functions until further notice grant thornton collects uses and maintains vaccinationrelated data in accordance with its privacy policy personnel privacy notice and applicable laws and regulations

it is the policy of grant thornton to promote equal employment opportunities all personnel decisions including but not limited to recruiting hiring training working conditions promotion transfer compensation benefits evaluations and termination are made without regard to race color religion national origin sex age marital or civil union status pregnancy or pregnancyrelated condition sexual orientation gender identity or expression citizenship status veteran status disability handicap genetic predisposition or any other characteristic protected by applicable federal state or local law

consistent with the americans with disabilities act ada and applicable state and local laws it is the policy of grant thornton llp to provide reasonable accommodation when requested by a qualified applicant or employee with a disability unless such accommodation would cause an undue hardship the policy regarding requests for reasonable accommodation applies to all aspects of employment including the application process to make an accommodation request please contact colleaguesupportspecialistsusgtcom

for los angeles applicants only we will consider for employment all qualified applicants including those with criminal histories in a manner consistent with the requirements of applicable state and local laws including the city of los angeles fair chance initiative for hiring ordinance"
Water Resources Project Manager,OHM Advisors,Various IT Skills,"come work for ohm advisors the community advancement firm

with the singular mission of advancing communities our diverse team of professionals works collaboratively across multiple service areas including architecture engineering planning surveying and construction engineering to create better places for people

we are a team of experts with individual specialties working together driven to make a difference through peoplefocused problem solving design and ideas in everything we do we put people first we create places for communities of people that help solve a problem and drive them forwardadvancing the whole today and well into the future

what youll contribute to ohm advisors

as a project manager in the environmental and water resources group ewrg you will lead a range of water resources projects across the midwest ewrg is a diverse  person team looking for an experienced project manager with a passion for water resources the ewrg team works on a variety of water wastewater and stormwater projects including modeling of distribution and collection systems asset management stream restoration green infrastructure and a range of facility designs

a successful candidate for the water resources project manager position is teamoriented organized and has strong technical skills the candidate takes initiative and is current on software regulations and technology this position could be either fulltime or parttime with flexible working arrangements available

your responsibilities
 works directly and collaboratively with ewrg director and director of ohio engineering to meet the needs of operations and engineering for water resource project delivery in ohio
 collaborates with ohms client representatives and works directly with ohms clients to be a local technical advisor to ohiobased clients and support advancement of capital projects
 experienced in data evaluation identification of appropriate treatment technologies development of basis of design and hydraulic calculations and preparation of engineering reports
 preparing and managing scope schedule and budget for proposals and contracts
 leads a team of engineers to support the development of design drawings and specifications and obtaining construction permits from regulatory agencies projects are expected to include water distribution systems sewage collection storage facilities control vaults pumping stations booster stations water and wastewater treatment stormwater systems and green infrastructure
 project coordination during the construction phase
 implementing projects from scoping to completion including overall decisionmaking and qaqc
 familiar with local state and federal funding sources
 familiar with local state and federal permit programs
 excellent verbal and written communication skills

your team

as a trusted member of ohm advisors environmental and water resources group you will join a growing missiondriven team of innovative thinkers who collaborate daily using our combined gifts and talents to continually advance the communities we serve

what youll need to succeed
 bachelors degree in the related engineering field with a focus on water wastewater and reclaimed water engineering
 minimum of  years of progressively increasing responsibility experience in water resources including managing projects and proposal writing
 state of ohio professional engineer license required state of michigan kentucky andor tennessee professional engineer license desirable but not required
 experience with water and wastewater infrastructure design considerations
 computer skills associated with the following programs microsoft word excel bluebeam or other pdf software and scheduling software such as ms project
 demonstrated ability to take the initiative to solve challenging problems
 selfdirected and able to prioritize multitask and meet deadlines
 teamoriented mindset and strong listening and collaboration skills
 strong analytical and problemsolving skills

growth at ohm advisors

advancement isnt just for our clients were committed to moving our team forward too at ohm advisors youll enjoy challenging meaningful work at a growing company creating innovative solutions for forwardthinking clients but theres not just cool work on big projects youll be empowered to create your own career path in a culture that supports your individual professional development goals and encourages your pursuits through continued opportunities for growth read about some of our opportunities for career growth and enrichment on our website

ohm advisors is an equal opportunity employer eoe all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability or protected veteran status

experience

required
  years  years progressively increasing responsibility experience in water or wastewater design

education

required
 bachelors or better in civil engineering

preferred
 masters or better

equal opportunity employerprotected veteransindividuals with disabilities

the contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about discussed or disclosed their own pay or the pay of another employee or applicant however employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information unless the disclosure is a in response to a formal complaint or charge b in furtherance of an investigation proceeding hearing or action including an investigation conducted by the employer or c consistent with the contractors legal duty to furnish information  cfr c"
Criminal Investigator 2,State of Ohio,Various IT Skills,"about us

the office of the ohio public defender opd is the state agency responsible for providing legal representation and other services to people accused or convicted of a crime who cannot afford to hire an attorney

our mission advocating fighting helping

our vision a fair justice system

our values compassion dignity equity integrity service community

our commitment to diversity equity and inclusion our commitment to inclusion is inseparable from our commitment to a fair justice system we strive to ensure inclusive spaces and services for our staff our clients and ohios diverse communities we are committed to building a work environment where all our team members have a voice and can embrace our differences to innovate service to the public we can best meet our public defense mission through a diverse workforce and an inclusive workplace where employees thrive our mission is accomplished and ohioans are served teamopd is grounded in diversity equity inclusion as we work together to pursue fairness and justice for all people

follow opd on facebook and twitter  visit our website

about the position and what youll do

the criminal investigator  works independently and at the direction of their supervisor to conduct thorough detailed and accurate psychosocial investigations of clients at the trial court and posttrial litigation levels you will also conduct fact investigations on trial and posttrial litigation you will join the mitigation and investigation department which conducts both criminal investigations and mitigation investigations the mission of the department is to provide a thorough investigation in an ethical and honest manner in order to ensure quality representation of indigent clients

a successful candidate will have passion for working with a large team and assisting our diverse clientele who are facing the challenges of poverty and other challenges beyond socioeconomic factors the preferred candidate will have professional or volunteer experience helping to pursue a fair justice system and a bachelors degree or above in either criminal justice psychology sociology criminology social work or related humanities field the position currently offers you the opportunity to work from home for a portion of time so a successful candidate will also be selfmotivated and comfortable communicating via microsoft teams or other conferencing software

essential duties performed by the position include but are not limited to
 conduct criminal and social history investigations
 locate contact and interview witnesses other suspects family members employers and medical or psychological service providers to obtain information pertaining to the case
 travel throughout ohio and outside the state as necessary to locate interview and investigate witnesses evidence materials and records
 review case materials
 conduct interviews with clients witnesses and other parties
 create reports presentations and record findings
 gather and organize records evidence materials pertinent to case
 meet with defense team to brainstorm collaborate and identify case strategy based on investigative findings

note this posting is recruiting for two  criminal investigator 

the criminal investigator  position is assigned to the state of ohios ocsea pay schedule pay range  unless required by legislation or union contract starting salary will be the minimum salary of that pay range step  currently  per hour associated with this position these ranges provide a standardized pathway for pay increases with continued employment new hires move to the next step in the range after  months and annually thereafter the state of ohio typically has cost of living adjustments that increase wages in these ranges each fiscal year

criminal investigator    pay range hourly step  step  step  step  step  step  step        

please include a cover letter with your application

the office of the ohio public defender complies with federal and state disability laws and makes reasonable accommodations for applicants and employees with disabilities if reasonable accommodation is needed to participate in the job application or interview process please contact tamra meister ada coordinator at  or hcmopdohiogov

whats in it for you

at the state of ohio we take care of the team that cares for ohioans we provide a variety of quality competitive benefits to eligible fulltime and parttime employees for a list of all the state of ohio benefits visit our total rewards website our benefits package includes

medical coverage
 quality affordable and competitive medical benefits are offered through the ohio med ppo plan

dental vision and basic life insurance
 dental vision and basic life insurance premiums are free after one year of continuous service

time away from work and worklife balance
 paid time off including vacation personal and sick leave
  paid holidays per year
 childbirthadoption leave

ohio public employees retirement system
 opers is the retirement system for state of ohio employees the employee contributes  of their salary towards their retirement the employer contributes an amount equal to  of the employees salary visit the opers website for more information
deferred compensation
 the ohio deferred compensation program is a b voluntary retirement savings plan visit the ohio deferred compensation website for more information
ohio is a disability inclusion state and strives to be a model employer of individuals with disabilities the state of ohio is committed to providing access and inclusion and reasonable accommodation in its services activities programs and employment opportunities in accordance with the americans with disabilities act ada and other applicable laws

 mos exp as criminal investigator  
 or  mos exp in conducting criminal investigations of felonies  misdemeanors or claim fraud
 or  mos exp in conducting investigations of complaints  possible violations of laws  rules or agencycompany policies  procedures
 or equivalent of minimum class qualifications for employment noted above

primary location

united states of americaohiofranklin countycolumbus

work locations

public defenders office

organization

public defender commission

classified indicator

classified

bargaining unit  exempt

bargaining unit

schedule

fulltime

compensation

hr

unposting date

jun    pm

job function

criminologycriminal justice

job level

individual contributor

agency contact information

elijahkellyopdohiogov"
Criminal Investigator,"Department of Administrative Services, State of Ohio",Various IT Skills,"about us

the office of the ohio public defender opd is the state agency responsible for providing legal representation and other services to people accused or convicted of a crime who cannot afford to hire an attorney

our mission
advocating fighting helping

our vision a fair justice system

our values
compassion dignity equity integrity service community

our commitment to diversity equity and inclusion

our commitment to inclusion is inseparable from our commitment to a fair justice system we strive to ensure inclusive spaces and services for our staff our clients and ohios diverse communities we are committed to building a work environment where all our team members have a voice and can embrace our differences to innovate service to the public we can best meet our public defense mission through a diverse workforce and an inclusive workplace where employees thrive our mission is accomplished and ohioans are served

teamopd is grounded in diversity equity inclusion as we work together to pursue fairness and justice for all people

follow opd on facebook and twitter 

about the position and what youll do

the criminal investigator  works independently and ction of their supervisor to conduct thorough detailed and accurate psychosocial investigations of clients l court and posttrial litigation levels

you will also conduct fact investigations on trial and posttrial litigation

you will join the mitigation and investigation department which conducts both criminal investigations and mitigation investigations the mission of the department is to provide a thorough investigation in an ethical and honest manner in order to ensure quality representation of indigent clients

a successful candidate will have passion for working with a large team and assisting our diverse clientele who are facing the challenges of poverty and other challenges beyond socioeconomic factors the preferred candidate will have professional or volunteer experience helping to pursue a fair justice system and a bachelors degree or above in either criminal justice psychology sociology criminology social work or related humanities field

the position currently offers you the opportunity to work from home for a portion of time so a successful candidate will also be selfmotivated and comfortable communicating via microsoft teams or other conferencing software

essential duties performed by the position include but are not limited to
 conduct criminal and social history investigations
 locate contact and interview witnesses other suspects family members employers and medical or psychological service providers to obtain information pertaining to the case
 travel throughout ohio and outside the state as necessary to locate interview and investigate witnesses evidence materials and records
 review case materials
 conduct interviews with clients witnesses and other parties
 create reports presentations and record findings
 gather and organize records evidence materials pertinent to case
 meet with defense team to brainstorm collaborate and identify case strategy based on investigative findings

note

this posting is recruiting for two  criminal investigator 

the criminal investigator  position is assigned to the state of ohios ocsea pay schedule pay range  unless required by legislation or union contract starting salary will be the minimum salary of that pay range step  currently  per hour associated with this position these ranges provide a standardized pathway for pay increases with continued employment new hires move to the next step in the range after  months and annually thereafter

the state of ohio typically has cost of living adjustments that increase wages in these ranges each fiscal year

criminal investigator    pay range hourly step  step  step  step  step  step  step        

please include a cover letter with your application

the office of the ohio public defender complies with federal and state disability laws and makes reasonable accommodations for applicants and employees with disabilities if reasonable accommodation is needed to participate in the job application or interview process please contact tamra meister ada coordinator 

whats in it for you

e of ohio we take care of the team that cares for ohioans we provide a variety of quality competitive benefits to eligible fulltime and parttime employees for a list of all the state of ohio benefits"
Public investigator,Vcheck Global,Various IT Skills,"vcheck global is an expertisedriven company with range of services products and technology supporting  due diligence and background checks specializing in the riskbased due diligence needed to identify and monitor multiple risk types relevant to vendor  supplier onboarding large lending and investment transactions ma ipos and overall portfolio risk for third parties of any kind

vcheck global specializes in enhanced due diligence through expert researchers trained investigators and analysts as well as techdriven instant screening and ongoing monitoring of our clients entire portfolios of third parties be they investors suppliers distributors partners portfolio companies board members or csuite executives

founded in  and based in los angeles vcheck global has appeared on the inc  list three years in a row as the fastestgrowing company in the background check and due diligence investigation industry

job description

vcheck global is looking for a motivated detailoriented investigator who is willing to work up to  hours per week on a parttime basis 

amount of hours worked will be based on business needs this person will play an essential role in the companys mission by performing public record due diligence investigations on behalf of vchecks roster of clients including highproﬁle banks law ﬁrms and private equity ﬁrms

this position is  remote

our investigator will be responsible for the following 
 conduct detailed public record due diligence investigations on individuals and entities for investment and lending purposes
 conﬁrm identities and search for aliases through various thirdparty resources
 identify analyze and intelligently summarize complex legal documents including liens judgments bankruptcies criminal records complaints and other recorded documents
 conduct research on social media profiles derogatory news and general online presence
 create detailed wellwritten reports for clients based on findings
 produce accurate precise reporting in a timely manner
 communicate with the client relations team to ensure deliverables and timelines are achievable
 collaborate with outside thirdparty ﬁrms for document retrieval court runner services and additional research

qualiﬁcations

the ideal candidate for this role is in possession of the following skills and characteristics 
 public record investigation experience of criminal and civil records
 fcra regulation knowledge
 techsavvy with strong computer skills
 sense of urgency in accomplishing goals and objectives
 excellent oral and written communication skills
 experience with conﬁdential and sensitive information pii
 knowledge of due diligence databases such as lexis nexis westlaw clear and tlo
 bilingual preferred but not required
 bachelors degree in criminal justice political science or international studies

benefits
 fulltime remote
 flexible hours

please apply using this link      vcheckglobalripplingatscom  job    publicrecordsinvestigator

if you or someone you know is interested please reach out with an updated resume to cdearmas vcheckglobalcom

last updated  "
Organized Retail Crime Investigator- Virtual- Columbus,Talentify,Various IT Skills,"position description
position purpose
orc investigators hdihome depot investigations are responsible for the direction and support of organized retail crime orc investigations within a specified area of the company orc investigators will work with various business partners corporate security dot com rdos apms and aps and leverage all available investigative tools to eliminate and reduce company exposure to external theft key responsibilities include analyzing information determination of exception data to drive investigation communication and coordination of information to field teams and other partners management of the investigative process coordination with law enforcement to ensure effective prosecution and restitution recovery coordination with orc analysts to develop new exception data management of remote cctv viewing to support investigative efforts and case trend analysis to drive performance and to make recommendations to mitigate theft exposure orc investigators must be able to manage multiple tasks and to gain buy in and support of multiple partners to ensure a successful investigation process within their area of responsibility orc investigators must be effective at training and coaching as they will support the development of the investigative skill sets within their area of responsibility orc investigators must have strong analytical and problem solving skills as they will make recommendations to business partners for the elimination of proceduralpolicy issues that increase theft exposure orc investigators will report directly to the corporate orc managers of hdi and will work in a collaborative team environment with the entire hdi team

major tasks responsibilities  key accountabilities
case initiation gathering intelligence field tactics conducts various field tactics ie staticmobile surveillance to determine the scope of an investigation and help bring to resolution deploys resources covertovert surveillance equipment product tracking etc under the partnership of the ssc corporate orc managers utilize information from systems reports and databases to identify and communicate criminal activity impacting company assets gathers intelligence internally and externally and presents to law enforcement for prosecution work with orc analyst to review all pos and non pos exception report data to identify potential orc theftfraud issues within the assigned regions

case managementpackaging and building cases updates case management system weekly develops detailed investigative plans to help bring cases to resolution at the appropriate scope and pace provides weekly updates to manager and ap team within area of responsibility on case load and case management efforts thoroughly documents investigations and ensures proper video is retained for prosecution in the case management system

networking and training with field teams le and retail represent thd during conferences and orc meetings develop partnerships with ssc leaders director rdos apms and aps to drive theft and fraud elimination maintain positive working relationships with ap teams financial institutions law enforcement and peer industry partners implementation of training and programs to prevent fraud and reduce loss potential

nature and scope
this position reports to manager
this position has no direct reports

environmental job requirements
environment
 located in a comfortable indoor area any unpleasant conditions would be infrequent and not objectionable
travel
typically requires overnight travel less than  of the time

additional environmental job requirements

essential skills
standard minimum qualifications
must be eighteen years of age or older
must be legally permitted to work in the united states

additional minimum qualifications

education required
the knowledge skills and abilities typically acquired through the completion of a high school diploma andor ged

years of relevant work experience
 years

certifications  licenses

physical requirements
frequent periods are spent standing or sitting in the same location with some opportunity to move about occasionally there may be a need to stoop or lift light objects typically less than  pounds

additional qualifications

preferred qualifications
  years of loss prevention  asset protection investigative experience
  years of organized retail crime investigative experience
 competent in the use of retail cctv systems
 competent in the use of retail case management systems
 loss prevention investigative interview training
 orc certifications andor training class completion

knowledge skills abilities and competencies
 proficient with the use of windows based systems
 excellent analytical skills as well as strong verbal and written communication skills
 ability to handle multiple projects and gain cooperationbuy in of ssc and field leadership teams
 knowledge and expertise in conducting complex investigations
 ability to influence law enforcement to resolve orc investigations impacting thd
 knowledge and expertise in preparing for and testifying in localstatefederal court
 highly developed interpersonal skills for dealing with sensitive or controversial information
 action oriented
 drives results
 collaborates
 decision quality
 drives engagement
 cultivates innovation
 respect for all people
 interpersonal savvy
 instills trust

we are an equal opportunity employer and do not discriminate against any employee or applicant for employment because of race color sex age national origin religion sexual orientation gender identity status as a veteran and basis of disability or any other federal state or local protected class

by submitting your interest in this job you agree to receive text notifications with additional steps to complete your job application you will receive up to  messages from the number  message  data rates may apply please refer to our privacy policy for more information"
Private Investigator,Allied Universal,Various IT Skills,"overview

allied universal compliance and investigations north americas leading expert insurance claim investigations compliance and corporate governance company provides rewarding careers that give you a sense of purpose while working in a dynamic diverse and inclusive workplace you will be part of a team that fuels a culture that will reflect in our communities and customers we serve

job description

allied universal is hiring a private investigator  the investigators primary focus is to investigate insurance claims for a variety of coverage to include workers compensation general liability property and casualty disability life and healthcare this individual must have investigative skills to independently conduct all aspects of basic surveillance investigations and basic claims investigations to include recorded statements and scene investigations

essential job duties and responsibilities
 independently investigate insurance claims field for a variety of coverage to include workers compensation general liability property and casualty disability life and healthcare under close direct supervision
 collect information through use of own discretion and guidance from clients and case managers by means of
 personal observation with video and photographic validation

basic qualifications
 formal education licenses and certifications required
 must possess one or more of the following
 a bachelors degree in criminal justice accounting engineering computer science a foreign language or a related field
 an associates degree in criminal justice accounting engineering computer science a foreign language or a related field with a minimum of two  years of experience in law enforcement military law enforcement or governmentprivate investigations
 must be able to successfully complete the allied universal investigations pi trainingorientation course
 must possess a current and valid drivers license
 must be willing to independently undergo licensing procedures in order to obtain a private investigator license in the state of ohio if you do not possess a pi license already
 type and length of specific experience required
 if previously employed meaningful and verifiable work history

why work for us
 medical dental vision  disability life etc offered to all fulltime staff
 fixed biweekly auto allowance provided to most investigators
 company credit card for all fuel and travel
 investigations related educational opportunities and paid training
 career paths built for advancement for every investigator
 dedicated field leadership department for maximum communication teamwork and mentoring
 competitive rates and bonus plans
 you are paid for every second you work
 bonus eligible for monthly video submission up to    based on performance
 guaranteed at least  hours per week first  days after orientation and training  available in select markets
 excellent technology designed to improve your work life balance
 opportunity for maximum ot earnings
 job stability working for one of the largest employers in the world
 with cni having investigative operations in the uk ireland australia and every state in the us opportunities for relocation are prevalent

closing

allied universal is an equal opportunity employer all qualified applicants will receive consideration for employment without regard to raceethnicity age color religion sex sexual orientation gender identity national origin genetic information disability protected veteran status or relationshipassociation with a protected veteran or any other basis or characteristic protected by law for more information 

if you have any questions regarding equal employment opportunity affirmative action diversity and inclusion have difficulty using the online system and require an alternate method to apply or require an accommodation at any time during the recruitment andor employment process please contact our local human resources department to find an office near you please visit  

requisition id

"
Entry Level Surveillance Investigator,"DigiStream Detroit, Inc.",Various IT Skills,"digistream investigations a fastgrowing national private investigation firm seeks a talented addition to our investigative team in the greater columbus region

this isnt your average desk job  being a surveillance investigator means youll have a career with excitement travel autonomy and purpose this role is meant for an individual with an adventurous and curious spirit and the drive to provide our clients with the evidence they need to defend their cases

what youll get
 a foot in the door to the investigationssecuritylaw enforcement fields
 experience conducting covert investigations
 a job youll love going to  no one day is the same
 opportunities for growth within the company via our surveillance investigator promotion track
 unlike most pi companies digistream provides full benefits a company vehicle and paid travel
 professional handson training program developed over the course of  years
 quarterly teambuilding events and comradery with fellow team members
 the skills you learn here can lead to jobs in
 fbi  law enforcement
 atf  us border patrol  state crime lab
 law  paralegal  legal assistant
 security  corporate investigations
 investigative journalism

what a day in the life of an investigator looks like
 monitoring following and videotaping subjects as they conduct their daytoday activities
 vehicle and foot pursuit of subjects while maintaining cover
 activity varies from filming someone at a grocery story to filming them at a seahawks game
 crafting presurveillance strategies based on the setup location and case details
 detailed report writing on the activities observedcaptured and submission of video evidence
 regular communication with team leader on setup positions activity and tactics

view our recruitment trailer 

what youll need to apply
 high school diploma or ged
 must be  years or older
  hours per week on average includes commute  drive time
 willingness to travel and stay overnight on remote assignments as needed
 availability to work any day of the week including weekends and holidays
 ability to start work as early as  am daily with occasional work into the evenings
 ability to pass dmv check  background check
 confident driving skills
 no pi license required  we cover the licensure cost and guide you through the process

compensationbenefits
 entrylevel pay  per hour overtime paid according to statefederal guidelines
 first year estimated compensation range    frequent overtime
 employee benefits health dental vision life insurance and k with up to  dollarfordollar company match
 performance incentives
 companyprovided surveillance vehicle
 equipment provided including video camera laptop tripod fuel  maintenance card
 cellphone reimbursement
 paid travel to and from local and remote assignments door to door
 no out of pocket expenses
 only apply if you have availability to work any of the  days of the week and only if you can work a  day per week schedule with an average of  hours per day including weekends and holidays

job type fulltime

pay  per hour

benefits
 k
 k matching
 dental insurance
 health insurance
 paid time off
 vision insurance

schedule
  hour shift
  hour shift
 holidays
 overtime
 weekend availability

work location on the road"
Criminal justice,My Justice Career,Various IT Skills,"interested in online criminal justice training my justice career can help

flexible learning schedule

national accreditation you can count on

financial aid assistance

career placement services

why a criminal justice career an exciting field with endless opportunity

imagine a future with endless opportunities and a variety of career choices within an exciting industry that is what you can expect in the criminal justice field

you will be challenged each day as you assess issues and provide solutions for a variety of different situations the skills you learn as a criminal justice professional will allow you to successfully take on difficult cases train others to do the same and work with the public to ensure safety and stability

the career you have been waiting for is right at your fingertips

benefits of online training

zero transportation costs

training on your schedule

individual pacing

choose my justice career

my justice career is the  portal for individuals seeking a career in the criminal justice field we are aligned with numerous training schools throughout the country that offer a variety of services including job placement assistance to those who qualify

our network of nationally recognized criminal justice schools makes it easy for you to find the right program in your area  take the first step towards your new career today

requirements

must be  years of age or older

must have hs diploma or ged equivalent

a complimentary minute application is all that it takes to get started let us connect you with a quality criminal justice school in your area  learn more today

program requires tuition successful completion of a program does not guarantee employment if qualified

last updated  "
Surveillance Investigator,Allied Universal® Compliance and Investigations,Various IT Skills,"allied universal compliance and investigations north americas leading expert insurance claim investigations compliance and corporate governance company provides rewarding careers that give you a sense of purpose while working in a dynamic diverse and inclusive workplace you will be part of a team that fuels a culture that will reflect in our communities and customers we serve

allied universal is hiring a surveillance investigator the investigators primary focus is to investigate insurance claims field for a variety of coverage to include workers compensation general liability property and casualty disability life and healthcare this individual must have investigative skills to independently conduct all aspects of basic surveillance investigations and basic claims investigations to include recorded statements and scene investigations

essential job duties and responsibilities
 independently investigate insurance claims field for a variety of coverage to include workers compensation general liability property and casualty disability life and healthcare under close direct supervision
 collect information through use of own discretion and guidance from clients and case managers by means of
 personal observation with video and photographic validation

basic qualifications
 formal education licenses and certifications required
 must possess one or more of the following
 a bachelors degree in criminal justice accounting engineering computer science a foreign language or a related field
 an associates degree in criminal justice accounting engineering computer science a foreign language or a related field with a minimum of two  years of experience in law enforcement military law enforcement or governmentprivate investigations
 must be able to successfully complete the allied universal investigations pi trainingorientation course
 must possess a current and valid drivers license
 must possess a current and valid private investigator license
 type and length of specific experience required
 if previously employed meaningful and verifiable work history

allied universal is an equal opportunity employer all qualified applicants will receive consideration for employment without regard to raceethnicity age color religion sex sexual orientation gender identity national origin genetic information disability protected veteran status or relationshipassociation with a protected veteran or any other basis or characteristic protected by law for more information 

if you have any questions regarding equal employment opportunity affirmative action diversity and inclusion have difficulty using the online system and require an alternate method to apply or require an accommodation at any time during the recruitment andor employment process please contact our local human resources department to find an office near you please visit "
